zone,mant,pop,er,empe1,empe2,str,st,stu,stur,shop,park,hospb,vp,vm,emp,cbd
1,12,190,127,4843,10498,7,0,124,13,18107,915,0,0.143,0.12,67222.88,1
2,12,17,4,3533,4344,3,0,0,1,731,0,0,0.014,0.12,9538.95,1
3,12,786,252,577,1083,87,167,0,54,7357,6339,0,0.137,0.064,8131.45,1
4,12,1148,407,501,1139,146,315,0,79,4669,3640,0,0.211,0.207,3312.57,1
5,12,10713,3456,1064,1743,1950,1990,0,734,4459,24234,80,0.127,0.148,6176.55,1
6,12,3752,1218,491,1618,634,890,0,257,5056,8383,0,0.218,0.114,4391.58,1
7,12,4819,1525,999,1707,788,1448,0,330,2555,0,225,0.157,0.218,6764.32,1
8,12,7257,2749,173,335,1554,1501,0,497,323,128325,0,0.202,0.057,735,1
9,12,8143,2610,3981,4489,1396,570,0,558,2126,18145,0,0.169,0.064,7428.87,1
10,12,6682,1960,630,1112,1122,1080,0,458,968,4473,0,0.173,0.167,2654.22,1
11,12,11511,3542,967,2805,1766,1663,0,789,3730,461,72,0.146,0.088,5658.78,1
12,12,11114,3358,970,1595,1580,757,0,761,4699,8803,93,0.218,0.157,4194.88,1
13,12,2093,644,5263,6179,292,221,173,143,2974,253074,0,0.239,0.08,10066.07,1
14,12,71,20,2559,3340,11,0,0,5,2478,37280,0,0.014,0.12,6332.94,1
15,12,50,23,2367,2563,8,540,134,3,845,7283,0,0.014,0.12,3259.47,1
16,12,178,85,2920,5494,20,197,390,12,6861,0,0,0.014,0.184,14078.14,1
17,12,412,167,1294,2540,78,404,0,28,6957,0,0,0.131,0.12,8299.07,1
18,12,1338,389,7163,9128,164,455,0,92,5774,0,0,0.309,0.153,20448.67,1
19,12,6082,1635,1749,1933,1022,2093,1644,417,1607,8316,149,0.232,0.102,6308.75,1
20,12,25517,7483,1196,1566,3992,3420,0,1748,1801,25207,119,0.229,0.147,4063.8,1
21,12,20524,5638,2601,3666,3459,5338,0,1406,1583,1646,183,0.249,0.185,6996.55,1
22,12,14990,4283,1256,3758,2526,966,0,1027,1389,29511,0,0.213,0.14,6051.37,1
23,12,2859,972,937,1085,664,0,0,196,1110,58776,0,0.043,0.27,3706.73,1
24,12,1087,351,435,513,168,507,0,74,517,94286,0,0.083,0.148,1414.57,1
25,12,10750,3199,544,544,1865,2499,0,737,318,791,0,0.233,0.175,1045.86,1
26,12,568,185,334,1509,74,0,946,39,1575,0,411,0.436,0.11,2463.41,1
27,12,1517,423,1438,1534,185,231,34,104,957,0,275,0.117,0.114,2420.43,1
28,12,1189,360,1419,1486,164,889,650,81,1831,610,213,0.396,0.102,1928.27,1
29,12,142,50,2081,3897,13,433,45,10,2017,0,0,0.364,0.11,8602.12,1
30,12,1506,463,1982,4207,205,1062,0,103,5471,0,0,0.277,0.067,9770.07,1
31,12,72,16,1827,1966,9,153,0,5,332,6030,0,0.54,0.12,2178.82,1
32,12,13784,3599,359,527,2293,3111,0,944,367,0,0,0.249,0.112,2410.33,1
33,12,13032,3692,650,1237,2172,2544,0,893,432,0,0,0.215,0.136,3545.52,1
34,12,8541,2644,185,248,1388,465,0,585,689,17469,0,0.243,0.114,533.09,1
35,12,1475,447,4651,6239,176,554,220,101,1932,0,33,0.278,0.12,9500.05,1
36,12,2119,1044,4857,6275,153,346,0,145,3425,0,193,0.147,0.067,14397.06,1
37,12,5313,1783,1935,2537,688,1891,8003,364,1460,0,0,0.282,0.149,5357.79,1
38,12,6141,1775,293,435,785,80,0,421,1077,0,62,0.242,0.02,678.36,1
39,12,9422,2617,2789,3284,1492,5672,0,646,955,4828,91,0.334,0.129,4151.48,1
40,12,3600,1000,1632,1894,614,2822,0,247,262,0,0,0.386,0.118,2466.18,1
41,12,25388,7467,3550,4767,3653,3976,2399,1739,2169,3204,0,0.255,0.11,7799.24,1
42,11,18295,5578,1158,1964,2808,83,0,1596,1287,2023,0,0.278,0.059,3696.01,1
43,11,16022,5119,2821,3505,2223,2573,0,1398,1816,0,594,0.275,0.115,5029.54,0
44,11,3137,939,2552,2600,807,0,318,274,1182,0,0,0.282,0.077,3326.86,0
45,11,11929,2982,1460,1866,1914,3742,3298,1041,434,74945,0,0.332,0.15,2685.06,1
46,11,16069,4990,515,1425,2236,2311,0,1402,1978,1134,0,0.303,0.082,3305.59,1
47,11,23912,7202,997,1551,3635,3833,0,2086,1249,0,0,0.268,0.08,5316.11,1
48,11,13996,4320,452,620,1937,2553,0,1221,1691,0,0,0.247,0.075,2623.16,1
49,11,314,209,950,1277,0,0,0,27,1443,131336,224,0.189,0.078,1693.24,0
50,11,12348,4158,2176,2473,1602,684,786,1077,743,718,0,0.24,0.072,3678.54,0
51,11,21576,6828,1542,2160,2922,2573,0,1882,371,20128,0,0.283,0.105,3426.63,0
52,11,6446,1913,3554,3712,923,283,67,562,382,5130,0,0.322,0.017,5063.77,1
53,11,7172,2180,884,1060,966,1439,549,626,1047,1738,0,0.4,0.105,2447.77,1
54,11,17561,5557,351,676,2472,1154,0,1532,353,0,0,0.205,0.111,1652.3,1
55,11,12604,4040,408,488,1902,670,0,1099,1097,0,62,0.242,0.103,1727.76,0
56,11,9032,2991,2007,2007,1145,885,0,788,2182,0,0,0.281,0.079,2775.47,0
57,11,8629,2451,1311,2146,1183,765,0,753,1604,1354,0,0.311,0.05,2905.06,1
58,11,9226,2779,2831,3426,1070,2167,70,805,3295,0,203,0.225,0.052,8757.14,1
59,11,13878,4155,278,469,1938,1461,0,1211,269,994,0,0.186,0.123,1976.23,1
60,11,5308,1707,642,1160,686,969,0,463,1147,0,34,0.189,0.079,3218.73,1
61,11,6811,2089,1606,1798,1146,1884,0,594,2323,22164,263,0.214,0.07,3572.87,0
62,11,10924,3741,632,843,1321,980,0,953,273,34823,0,0.271,0.067,1232.65,0
63,11,5782,1865,197,433,731,0,0,504,526,0,0,0.276,0.074,1115.43,0
64,11,5741,1888,4767,5905,673,1583,5047,501,2962,0,0,0.277,0.069,9573.07,1
65,11,3931,1248,2701,3535,463,1716,804,343,4827,0,136,0.283,0.033,9508.96,1
66,11,4316,1336,3892,4457,535,36,4706,376,2933,6138,15,0.339,0.042,8217.56,1
67,11,11435,3497,284,525,1710,300,0,997,302,6874,0,0.24,0.054,1631.04,1
68,11,4480,1299,90,90,696,0,0,391,309,86446,0,0.142,0.045,829.78,0
69,11,15257,4347,524,868,2601,2207,0,1331,1096,27087,0,0.195,0.094,2678.9,0
70,11,4596,1348,597,597,723,0,0,401,23,25663,0,0.154,0.096,498.73,0
71,11,5630,1896,792,1077,614,964,0,491,534,0,0,0.271,0.075,2243.14,0
72,11,7510,2362,1497,1635,843,2177,0,655,555,7706,0,0.329,0.059,2935.99,0
73,11,5459,1943,311,311,601,262,0,476,237,0,0,0.314,0.107,801.54,0
74,17,18471,5061,382,1149,3062,3797,0,698,709,7972,0,0.281,0.068,4042.58,0
75,17,29471,8074,994,1532,4607,1461,0,1113,368,39538,0,0.243,0.096,4416.95,0
76,17,8946,2527,661,830,1474,2874,0,338,750,6551,0,0.209,0.029,1620.08,0
77,17,23461,6627,759,1224,3785,6594,0,886,1698,995,0,0.252,0.081,3443.95,0
78,17,15411,4493,791,946,2506,1519,0,582,519,0,0,0.161,0.094,1627.9,0
79,17,24185,6699,867,1321,3945,1651,0,914,262,0,0,0.232,0.049,2750.01,0
80,17,27256,7592,766,1163,4817,3421,0,1030,2029,183996,0,0.197,0.071,1577.98,0
81,17,22680,6214,1379,2999,3608,4773,0,857,2546,19540,0,0.177,0.081,6339.63,0
82,17,27115,7905,2357,4504,4392,3683,0,1024,6777,42280,0,0.216,0.073,10919.57,0
83,17,21129,6054,489,1030,3194,1919,0,798,1370,55296,0,0.217,0.099,2134.44,0
84,10,10436,3271,777,886,1367,1257,0,733,427,902,0,0.211,0.094,2149.96,0
85,10,7836,2456,157,268,1072,461,0,550,311,0,0,0.255,0.029,827.31,0
86,10,12297,4045,759,1291,1431,54,0,864,680,0,0,0.249,0.097,4073.09,0
87,10,12599,4104,1779,2091,1641,2371,0,885,786,2544,0,0.191,0.126,5329.45,0
88,10,12940,4082,706,946,1693,1907,0,909,625,785,0,0.291,0.124,1329.6,0
89,10,10176,3121,411,467,1457,2065,0,715,378,0,0,0.311,0.082,1295.18,0
90,10,12273,3631,301,490,1750,1899,0,862,404,1912,0,0.236,0.079,1649.59,0
91,10,6179,1872,252,304,852,0,0,434,91,0,0,0.216,0.121,556.67,0
92,10,6138,1974,226,288,825,2307,0,431,277,0,0,0.208,0.054,694.43,0
93,10,10921,3467,218,247,1406,518,0,767,371,0,0,0.292,0.108,749.36,0
94,10,12462,4154,683,868,1434,834,0,875,988,0,0,0.303,0.082,2225.32,0
95,10,12165,3874,600,875,1578,405,0,855,39,27968,0,0.224,0.114,1575.38,0
96,10,9718,2867,213,350,1316,518,0,683,430,16557,0,0.213,0.104,979.8,0
97,10,9966,2984,419,419,1448,811,0,700,198,753,0,0.281,0.166,471.68,0
98,10,8611,2683,641,828,1268,754,0,605,733,8625,0,0.243,0.068,1804.05,0
99,10,12313,3836,316,375,1669,2813,0,865,264,604,0,0.208,0.085,570.74,0
100,10,11615,3498,292,292,1508,1414,0,816,216,7040,25,0.299,0.079,1335,0
